Job Title,Link,Role,Industry,Department,Education (UG),Education (PG),Key Skills,Description
RESIDENT MEDICAL OFFICER,https://www.naukri.com/job-listings-resident-medical-officer-doctors-door-ranchi-0-to-5-years-130326501492,Medical Officer,Medical Devices & Equipment,Healthcare & Life Sciences,MBBS - Bachelor of Medicine and Bachelor of Surgery in Medicine,Any Postgraduate,"medical, r, mbbs, resident medical, hospital, resident medical officer, mrs",Description block not found or inaccessible
Sales Head/ RSM/ Area Sales Manager/ TSM and BDE,https://www.naukri.com/job-listings-sales-head-rsm-area-sales-manager-tsm-and-bde-people-resources-ranchi-2-to-7-years-240325008162,Business Development Manager (BDM),Medical Services / Hospital (Diagnostics),Sales & Business Development,B.Sc - Bachelor of Science in Any Specialization,Not Found,"Sales And Marketing, Healthcare Sales, Pharma Selling, Pathology, MR, Diagnostic Sales, Lab Marketing",Description block not found or inaccessible
Business Executive (Medical Representative),https://www.naukri.com/job-listings-business-executive-medical-representative-eris-lifesciences-jamshedpur-0-to-4-years-220126501034,Business Development Executive (BDE),Pharmaceutical & Life Sciences,Sales & Business Development,Any Graduate,Any Postgraduate,"pharmaceutical, customer relationship, cold calling, new business, crm software, business development, sales, research, healthcare, excel, marketing, sales management, promotions, marketing campaigns, negotiation, demonstration, powerpoint, communication skills, crm",Description block not found or inaccessible
CASUALTY MEDICAL OFFICER,https://www.naukri.com/job-listings-casualty-medical-officer-doctors-door-ranchi-0-to-5-years-200226503737,Chief Medical Officer,Medical Devices & Equipment,Healthcare & Life Sciences,MBBS - Bachelor of Medicine and Bachelor of Surgery in Medicine,Any Postgraduate,"digital marketing, opd, cmo, data validation, emergency medicine, general management, medicine, business development, patient care, healthcare, change control, marketing, rmo, quality assurance, qms, vp, e-commerce, casualty, doctor activities, communication skills",Description block not found or inaccessible
Medical Representative/Territory Sales Manager-Pharma Ind,https://www.naukri.com/job-listings-medical-representative-territory-sales-manager-pharma-ind-shivay-hr-consulting-kolkata-mumbai-bhopal-patna-ranchi-4-to-10-years-271025504287,Territory Sales Manager (B2C),Management Consulting,Sales & Business Development,Any Graduate,Any Postgraduate,"SIDE, Sales strategy, Pharma Sales Executive, Pharma, Healthcare, Territory sales, Medical Representative, Monitoring",Description block not found or inaccessible
Finance Executive,https://www.naukri.com/job-listings-finance-executive-itc-ranchi-2-to-7-years-030326031873,Finance & Accounting - Other,FMCG,Finance & Accounting,Not Found,ICWA (CMA) in Any Specialization,"Accounting, Inward, Plant Finance, Stock Accounting, CMA, ICWA, Commercial Tax, Taxation, Inventory",Description block not found or inaccessible
U-SPARK Future Bankers Program by Ujjivan Small Finance Bank-,https://www.naukri.com/job-listings-u-spark-future-bankers-program-by-ujjivan-small-finance-bank-ujjivan-small-finance-bank-kolkata-patna-ranchi-0-to-0-years-070326020118,"BFSI, Investments & Trading - Other",Banking,"BFSI, Investments & Trading",Any Graduate,Not Found,Fresher Hiring,Description block not found or inaccessible
Financial Inclusion Officer,https://www.naukri.com/job-listings-financial-inclusion-officer-ujjivan-small-finance-bank-limited-kolkata-gamharia-jamshedpur-0-to-1-years-270226921607,Collection Executive / Officer,Banking,"BFSI, Investments & Trading",Any Graduate,Any Postgraduate,"financial inclusion, insurance, cro, bc, casa, csr, loans, sla, media, cross selling, digital platforms, sales, insurance products, upi, banking, tpp, compliance, dbt, digital banking, crm, mobile banking",Description block not found or inaccessible
Financial Inclusion Officer,https://www.naukri.com/job-listings-financial-inclusion-officer-ujjivan-financial-services-ltd-jamshedpur-0-to-1-years-230226918502,Treasury & Forex - Other,Banking,"BFSI, Investments & Trading",Any Graduate,Any Postgraduate,"financial inclusion, insurance, cro, bc, casa, csr, loans, sla, media, cross selling, digital platforms, sales, insurance products, upi, banking, tpp, compliance, dbt, digital banking, crm, mobile banking",Description block not found or inaccessible
Finance Business Partner,https://www.naukri.com/job-listings-finance-business-partner-arvind-limited-varanasi-ranchi-ahmedabad-1-to-5-years-180326032764,Finance - Other,Textile & Apparel (Yarn & Fabric),Finance & Accounting,Not Found,"CA in First Attempt, PG Diploma, MBA/PGDM in Finance","strategic initiatives, Business Finance, Digitization, business partnering, Business Strategy",Description block not found or inaccessible
Financial Services Representative,https://www.naukri.com/job-listings-financial-services-representative-suparnix-technologies-bermo-0-to-3-years-031125502343,Treasury Executive,IT Services & Consulting,Finance & Accounting,Any Graduate,Any Postgraduate,"Representative, Financial services",Description block not found or inaccessible
Deputy Manager - Lifestyle Finance,https://www.naukri.com/job-listings-deputy-manager-lifestyle-finance-bajaj-finance-limited-jamshedpur-2-to-3-years-170326928004,Not Found,Not Found,Not Found,,,"Finance, Fos Productivity, Sales, Sales Targets, Service Delivery, Relationship Management, Reconciliation, Sales Numbers, Channel Relationships, Communication And Interpersonal Skills, Finance Penetration, Controllership",Description block not found or inaccessible
Deputy Chief Financial Officer,https://www.naukri.com/job-listings-deputy-chief-financial-officer-vedanta-limited-bokaro-12-to-15-years-200326504853,Treasury Head,Metals & Mining,Finance & Accounting,Any Graduate,Any Postgraduate,"forecasting, internal control, cash management, regulatory, financial forecasting, accounting, business acumen, budgeting, accounting standards, project financing, compliance, negotiation, decision making, executive management, financing, tax reporting, reporting",Description block not found or inaccessible
Deputy Manager - Lifestyle Finance,https://www.naukri.com/job-listings-deputy-manager-lifestyle-finance-bajaj-finance-limited-ranchi-2-to-3-years-170326927998,Not Found,Not Found,Not Found,,,"Finance, Fos Productivity, Sales, Sales Targets, Service Delivery, Relationship Management, Reconciliation, Sales Numbers, Channel Relationships, Communication And Interpersonal Skills, Finance Penetration, Controllership",Description block not found or inaccessible
